# i 	s 	L 		u 	S 	I 	
1000 	41 	0.094653 	4000 	0 	10 	
1000 	41 	0.099265 	4000 	0 	11 	
1000 	42 	0.099901 	6999 	0 	19 	
1000 	42 	0.091247 	3000 	0 	7 	
1000 	42 	0.094057 	6999 	0 	18 	
1000 	43 	0.094972 	6999 	0 	17 	
1000 	43 	0.098729 	5999 	0 	15 	
1000 	43 	0.099528 	2000 	0 	6 	
1000 	43 	0.099719 	3000 	0 	8 	
1000 	44 	0.09549 	5999 	0 	13 	
1000 	44 	0.093918 	6999 	0 	17 	
1000 	44 	0.098916 	7999 	0 	18 	
1000 	45 	0.099802 	5999 	0 	15 	
1000 	45 	0.098555 	7999 	0 	20 	
1000 	45 	0.09376 	2000 	0 	4 	
1000 	46 	0.093414 	3999 	0 	8 	
1000 	46 	0.093672 	4999 	0 	11 	
1000 	46 	0.099897 	3999 	0 	8 	
1000 	46 	0.086226 	5999 	0 	12 	
1000 	47 	0.092782 	4999 	0 	10 	
1000 	47 	0.090714 	5000 	1000 	12 	
1000 	47 	0.097205 	9999 	0 	20 	
1000 	48 	0.093504 	5999 	0 	11 	
1000 	48 	0.09882 	5999 	0 	11 	
1000 	48 	0.089412 	9999 	0 	19 	
1000 	49 	0.098524 	4999 	0 	10 	
1000 	49 	0.093182 	3999 	0 	8 	
1000 	49 	0.092934 	1999 	0 	5 	
1000 	49 	0.093884 	5999 	0 	11 	
1000 	50 	0.09331 	6999 	0 	12 	
1000 	50 	0.096793 	5999 	0 	11 	
1000 	50 	0.097983 	9999 	0 	17 	
1000 	51 	0.094192 	8999 	0 	15 	
1000 	51 	0.094722 	5999 	0 	10 	
1000 	51 	0.085646 	5999 	0 	11 	
1000 	52 	0.096949 	7999 	0 	13 	
1000 	52 	0.092496 	6999 	0 	12 	
1000 	52 	0.097731 	9998 	0 	16 	
1000 	52 	0.09981 	7999 	0 	13 	
1000 	53 	0.09271 	4999 	1000 	10 	
1000 	53 	0.096148 	6999 	0 	11 	
1000 	53 	0.085474 	5000 	0 	7 	
1000 	54 	0.090753 	7999 	0 	13 	
1000 	54 	0.096282 	5999 	0 	9 	
1000 	54 	0.091983 	7999 	0 	12 	
1000 	55 	0.090477 	5999 	0 	9 	
1000 	55 	0.080063 	3000 	0 	5 	
1000 	55 	0.089063 	3999 	1000 	7 	
1000 	55 	0.095741 	5999 	0 	10 	
1000 	56 	0.092229 	6999 	0 	11 	
1000 	56 	0.088807 	10998 	0 	17 	
1000 	56 	0.098684 	8999 	0 	12 	
1000 	57 	0.096954 	8999 	0 	13 	
1000 	57 	0.099587 	10998 	0 	15 	
1000 	57 	0.089054 	4999 	0 	8 	
1000 	58 	0.097279 	15998 	0 	22 	
1000 	58 	0.095097 	15998 	0 	23 	
1000 	58 	0.08635 	5999 	0 	8 	
1000 	58 	0.097628 	7999 	0 	10 	
1000 	59 	0.091193 	7999 	0 	10 	
1000 	59 	0.09248 	7999 	0 	10 	
1000 	59 	0.097428 	8999 	0 	13 	
1000 	60 	0.096428 	8999 	0 	11 	
1000 	60 	0.093529 	11998 	1000 	18 	
1000 	60 	0.086027 	7999 	0 	10 	
1000 	61 	0.097652 	15998 	0 	20 	
1000 	61 	0.098518 	7999 	0 	10 	
1000 	61 	0.098046 	7999 	0 	10 	
1000 	61 	0.095675 	10998 	0 	13 	
1000 	62 	0.09773 	11998 	0 	14 	
1000 	62 	0.091757 	14998 	0 	18 	
1000 	62 	0.097629 	10998 	0 	13 	
1000 	63 	0.090564 	8999 	0 	11 	
1000 	63 	0.096998 	17997 	0 	21 	
1000 	63 	0.096115 	7999 	0 	8 	
1000 	64 	0.094408 	10998 	0 	12 	
1000 	64 	0.097053 	7999 	0 	9 	
1000 	64 	0.095915 	12998 	0 	15 	
1000 	64 	0.096256 	11998 	0 	13 	
1000 	65 	0.094644 	16997 	0 	19 	
1000 	65 	0.09837 	8999 	0 	10 	
1000 	65 	0.098234 	11998 	0 	14 	
1000 	66 	0.095406 	10998 	0 	12 	
1000 	66 	0.099821 	18997 	0 	21 	
1000 	66 	0.09815 	18997 	0 	20 	
1000 	67 	0.098065 	11998 	0 	13 	
1000 	67 	0.099552 	19997 	1000 	21 	
1000 	67 	0.098557 	8999 	0 	9 	
1000 	67 	0.090505 	10998 	0 	11 	
1000 	68 	0.098245 	13998 	0 	14 	
1000 	68 	0.098246 	10998 	0 	11 	
1000 	68 	0.098537 	10998 	0 	11 	
1000 	69 	0.097522 	12998 	0 	12 	
1000 	69 	0.099237 	22996 	0 	22 	
1000 	69 	0.096016 	22996 	1000 	24 	
1000 	70 	0.096647 	10998 	0 	11 	
1000 	70 	0.090966 	11998 	0 	12 	
1000 	70 	0.093123 	20997 	1000 	21 	
1000 	70 	0.09751 	11998 	0 	11 	
1000 	71 	0.091011 	14998 	0 	14 	
1000 	71 	0.097827 	34995 	0 	33 	
1000 	71 	0.088953 	8999 	0 	8 	
1000 	72 	0.097655 	13998 	0 	12 	
1000 	72 	0.092673 	13998 	0 	12 	
1000 	72 	0.099674 	12998 	0 	11 	
1000 	73 	0.099164 	19997 	0 	18 	
1000 	73 	0.091256 	12998 	0 	11 	
1000 	73 	0.099791 	10998 	0 	9 	
1000 	73 	0.098076 	11998 	0 	10 	
1000 	74 	0.092896 	15997 	0 	13 	
1000 	74 	0.091129 	11998 	0 	10 	
