10000 	41.0 	1 	nan 	5000 	1000 	10000 	
10000 	1.0 	1 	nan 	5999 	0 	10000 	
10000 	11.0 	6 	0.07789 	0 	0 	1 	
10000 	21.0 	6 	0.080097 	0 	0 	1 	
10000 	21.0 	11 	0.09492 	2000 	0 	44 	
10000 	31.0 	11 	0.088592 	2999 	0 	64 	
10000 	21.0 	16 	0.099177 	6999 	0 	142 	
10000 	11.0 	16 	0.088844 	7999 	0 	144 	
10000 	11.0 	21 	0.09952 	35995 	0 	431 	
10000 	91.0 	21 	0.096327 	37994 	0 	561 	
10000 	21.0 	26 	0.099557 	46993 	0 	500 	
10000 	51.0 	26 	0.093858 	68990 	0 	681 	
10000 	31.0 	31 	0.096319 	178973 	0 	1389 	
10000 	81.0 	31 	0.099518 	194971 	0 	1471 	
10000 	31.0 	36 	0.098699 	95986 	0 	515 	
10000 	61.0 	36 	0.098092 	129980 	0 	706 	
10000 	11.0 	41 	0.099519 	370944 	0 	1685 	
10000 	21.0 	41 	0.099784 	386941 	0 	1681 	
10000 	51.0 	46 	0.099623 	727890 	0 	2602 	
10000 	61.0 	46 	0.098827 	752886 	0 	2629 	
10000 	91.0 	51 	0.098571 	830874 	0 	2395 	
10000 	21.0 	51 	0.099729 	843872 	2000 	2485 	
10000 	71.0 	56 	0.096343 	2053688 	1999 	5000 	
10000 	81.0 	56 	0.099827 	2113679 	1000 	5016 	
10000 	51.0 	61 	0.09989 	2042689 	0 	4165 	
10000 	21.0 	61 	0.099283 	2367640 	1000 	4941 	
10000 	21.0 	66 	0.098934 	3447476 	0 	5979 	
10000 	81.0 	66 	0.099984 	3569457 	1000 	5920 	
10000 	21.0 	71 	0.099945 	3853414 	3000 	5828 	
10000 	11.0 	71 	0.099973 	5489165 	0 	8361 	
10000 	51.0 	76 	0.099663 	7112918 	2999 	9378 	
10000 	1.0 	76 	0.306139 	7452867 	4999 	10000 	
10000 	1.0 	81 	0.323733 	8255745 	4000 	10000 	
10000 	21.0 	81 	0.108521 	8416721 	3000 	10000 	
10000 	31.0 	86 	0.099949 	8924643 	5000 	9162 	
10000 	1.0 	86 	0.291406 	9472560 	6999 	10000 	
10000 	11.0 	91 	0.204131 	11578240 	5000 	10000 	
10000 	81.0 	91 	0.194417 	11604236 	4000 	10000 	
10000 	51.0 	96 	0.096866 	11241291 	4999 	7842 	
10000 	31.0 	96 	0.099876 	11590238 	5000 	8178 	
