# i 	s 	L 		u 	S 	I 	
1000 	40 	0.097056 	22997 	0 	66 	
1000 	41 	0.864488 	343948 	0 	1000 	
1000 	41 	0.085076 	8999 	1000 	27 	
1000 	41 	0.096528 	20997 	0 	61 	
1000 	42 	0.085487 	20997 	0 	58 	
1000 	42 	0.097768 	30995 	0 	87 	
1000 	42 	0.097304 	8999 	0 	28 	
1000 	43 	0.095581 	18997 	0 	50 	
1000 	43 	0.091907 	9999 	0 	24 	
1000 	43 	0.09686 	29996 	0 	78 	
1000 	43 	0.094297 	18997 	0 	50 	
1000 	44 	0.094066 	5999 	0 	16 	
1000 	44 	0.456055 	409938 	0 	1000 	
1000 	44 	0.091957 	16997 	0 	42 	
1000 	45 	0.090619 	9999 	0 	23 	
1000 	45 	0.086481 	8999 	0 	21 	
1000 	45 	0.097562 	20997 	0 	50 	
1000 	46 	0.099006 	20997 	0 	48 	
1000 	46 	0.097937 	9999 	0 	22 	
1000 	46 	0.094836 	63990 	0 	149 	
1000 	46 	0.089877 	12998 	0 	29 	
1000 	47 	0.09433 	20997 	0 	44 	
1000 	47 	0.086452 	29996 	0 	66 	
1000 	47 	0.095193 	22996 	0 	50 	
1000 	48 	0.098781 	18997 	0 	39 	
1000 	48 	0.095811 	27996 	0 	57 	
1000 	48 	0.099487 	11998 	0 	25 	
1000 	49 	0.098692 	17997 	0 	36 	
1000 	49 	0.097649 	34995 	0 	69 	
1000 	49 	0.093573 	35995 	0 	72 	
1000 	49 	0.095763 	25996 	0 	54 	
1000 	50 	0.090634 	19997 	1000 	39 	
1000 	50 	0.095095 	15997 	0 	31 	
1000 	50 	0.096378 	11998 	0 	24 	
1000 	51 	0.094949 	41994 	0 	78 	
1000 	51 	0.098678 	17997 	1000 	34 	
1000 	51 	0.09494 	36994 	0 	70 	
1000 	52 	0.094964 	29995 	0 	53 	
1000 	52 	0.088878 	28996 	0 	50 	
1000 	52 	0.093593 	53992 	1000 	99 	
1000 	52 	0.097969 	34995 	0 	63 	
1000 	53 	0.098402 	24996 	1000 	44 	
1000 	53 	0.090945 	23996 	0 	39 	
1000 	53 	0.092415 	14998 	0 	27 	
1000 	54 	0.099438 	15997 	1000 	28 	
1000 	54 	0.098302 	81987 	0 	135 	
1000 	54 	0.096109 	22997 	1000 	39 	
1000 	55 	0.089105 	35994 	0 	57 	
1000 	55 	0.09792 	29995 	0 	48 	
1000 	55 	0.098663 	30995 	1000 	51 	
1000 	55 	0.098397 	21996 	0 	36 	
1000 	56 	0.097452 	20997 	0 	31 	
1000 	56 	0.096182 	30995 	0 	47 	
1000 	56 	0.097186 	34995 	0 	53 	
1000 	57 	0.089907 	58991 	0 	88 	
1000 	57 	0.095828 	116982 	0 	173 	
1000 	57 	0.841835 	673897 	0 	1000 	
1000 	58 	0.097642 	19997 	0 	28 	
1000 	58 	0.09279 	315952 	1000 	469 	
1000 	58 	0.09086 	18997 	0 	31 	
1000 	58 	0.098715 	15997 	0 	24 	
1000 	59 	0.096529 	15997 	0 	24 	
1000 	59 	0.094564 	21997 	0 	33 	
1000 	59 	0.090231 	21996 	0 	35 	
1000 	60 	0.291785 	700893 	0 	1000 	
1000 	60 	0.083343 	35994 	0 	53 	
1000 	60 	0.098133 	47993 	0 	71 	
1000 	61 	0.096079 	25996 	0 	37 	
1000 	61 	0.091594 	25996 	0 	38 	
1000 	61 	0.093065 	38994 	0 	55 	
1000 	61 	0.092747 	22996 	0 	32 	
1000 	62 	0.094872 	72989 	0 	100 	
1000 	62 	0.096056 	15997 	0 	21 	
1000 	62 	0.097477 	37994 	0 	53 	
1000 	63 	0.089922 	30995 	0 	41 	
1000 	63 	0.086158 	110983 	0 	151 	
1000 	63 	0.088435 	64990 	0 	87 	
1000 	64 	0.092282 	19997 	0 	30 	
1000 	64 	0.099479 	21997 	0 	33 	
1000 	64 	0.09696 	240963 	0 	341 	
1000 	64 	0.095411 	34994 	1000 	49 	
1000 	65 	0.093419 	24996 	0 	34 	
1000 	65 	0.09505 	24996 	0 	35 	
1000 	65 	0.087277 	23996 	0 	33 	
1000 	66 	0.089545 	22996 	999 	33 	
1000 	66 	0.099556 	95985 	0 	131 	
1000 	66 	0.09454 	31995 	0 	43 	
1000 	67 	0.089255 	20997 	1000 	28 	
1000 	67 	0.093876 	28995 	0 	37 	
1000 	67 	0.095542 	23996 	0 	31 	
1000 	67 	0.078497 	25996 	0 	33 	
1000 	68 	0.096996 	125981 	0 	158 	
1000 	68 	0.089914 	19997 	0 	25 	
1000 	68 	0.098859 	25996 	1000 	34 	
